,station,date,DAPR,MDPR,PRCP,SNOW,SNWD,WESD,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
0,GHCND:USC00120014,2019-01-01T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
1,GHCND:USC00120014,2019-01-02T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
2,GHCND:USC00120014,2019-01-03T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
3,GHCND:USC00120014,2019-01-04T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
4,GHCND:USC00120014,2019-01-05T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
5,GHCND:USC00120014,2019-01-06T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
6,GHCND:USC00120014,2019-01-07T00:00:00,,,13.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
7,GHCND:USC00120014,2019-01-08T00:00:00,,,8.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
8,GHCND:USC00120014,2019-01-09T00:00:00,,,3.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
9,GHCND:USC00120014,2019-01-10T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
10,GHCND:USC00120014,2019-01-11T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
11,GHCND:USC00120014,2019-01-12T00:00:00,,,30.0,102.0,102.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
12,GHCND:USC00120014,2019-01-13T00:00:00,,,0.0,0.0,102.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
13,GHCND:USC00120014,2019-01-14T00:00:00,,,0.0,0.0,51.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
14,GHCND:USC00120014,2019-01-15T00:00:00,,,0.0,0.0,51.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
15,GHCND:USC00120014,2019-01-16T00:00:00,,,0.0,0.0,25.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
16,GHCND:USC00120014,2019-01-17T00:00:00,,,8.0,51.0,76.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
17,GHCND:USC00120014,2019-01-18T00:00:00,,,0.0,0.0,76.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
18,GHCND:USC00120014,2019-01-19T00:00:00,,,56.0,127.0,152.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
19,GHCND:USC00120014,2019-01-20T00:00:00,,,0.0,0.0,152.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
20,GHCND:USC00120014,2019-01-21T00:00:00,,,0.0,0.0,152.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
21,GHCND:USC00120014,2019-01-22T00:00:00,,,0.0,0.0,127.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
22,GHCND:USC00120014,2019-01-23T00:00:00,,,124.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
23,GHCND:USC00120014,2019-01-24T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
24,GHCND:USC00120014,2019-01-25T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
25,GHCND:USC00120014,2019-01-26T00:00:00,,,5.0,10.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
26,GHCND:USC00120014,2019-01-27T00:00:00,,,30.0,76.0,76.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
27,GHCND:USC00120014,2019-01-28T00:00:00,,,64.0,140.0,229.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
28,GHCND:USC00120014,2019-01-29T00:00:00,,,5.0,5.0,229.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
29,GHCND:USC00120014,2019-01-30T00:00:00,,,0.0,0.0,203.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
30,GHCND:USC00120014,2019-01-31T00:00:00,,,0.0,0.0,203.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
31,GHCND:USC00120014,2019-02-01T00:00:00,,,13.0,51.0,178.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
32,GHCND:USC00120014,2019-02-02T00:00:00,,,0.0,0.0,102.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
33,GHCND:USC00120014,2019-02-03T00:00:00,,,0.0,0.0,25.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
34,GHCND:USC00120014,2019-02-04T00:00:00,,,8.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
35,GHCND:USC00120014,2019-02-05T00:00:00,,,36.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
36,GHCND:USC00120014,2019-02-06T00:00:00,,,97.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
37,GHCND:USC00120014,2019-02-07T00:00:00,,,36.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
38,GHCND:USC00120014,2019-02-08T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
39,GHCND:USC00120014,2019-02-09T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
40,GHCND:USC00120014,2019-02-10T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
41,GHCND:USC00120014,2019-02-11T00:00:00,,,48.0,51.0,51.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
