,station,date,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WT04,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
0,GHCND:USC00123206,2019-01-01T00:00:00,345.0,0.0,0.0,106.0,11.0,22.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
1,GHCND:USC00123206,2019-01-02T00:00:00,0.0,0.0,0.0,28.0,-11.0,-11.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
2,GHCND:USC00123206,2019-01-03T00:00:00,0.0,0.0,0.0,17.0,-22.0,-22.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
3,GHCND:USC00123206,2019-01-04T00:00:00,0.0,0.0,0.0,33.0,-33.0,-17.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
4,GHCND:USC00123206,2019-01-05T00:00:00,0.0,0.0,0.0,111.0,-17.0,-11.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
5,GHCND:USC00123206,2019-01-06T00:00:00,0.0,0.0,0.0,50.0,-17.0,-6.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
6,GHCND:USC00123206,2019-01-07T00:00:00,0.0,0.0,0.0,50.0,-6.0,6.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
7,GHCND:USC00123206,2019-01-08T00:00:00,18.0,0.0,0.0,122.0,6.0,83.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
8,GHCND:USC00123206,2019-01-09T00:00:00,5.0,0.0,0.0,100.0,-50.0,-50.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
9,GHCND:USC00123206,2019-01-10T00:00:00,3.0,13.0,0.0,-50.0,-67.0,-61.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
10,GHCND:USC00123206,2019-01-11T00:00:00,0.0,0.0,0.0,-33.0,-61.0,-50.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
11,GHCND:USC00123206,2019-01-12T00:00:00,0.0,0.0,0.0,-17.0,-50.0,-39.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
12,GHCND:USC00123206,2019-01-13T00:00:00,64.0,102.0,102.0,-28.0,-44.0,-44.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
13,GHCND:USC00123206,2019-01-14T00:00:00,0.0,0.0,76.0,-11.0,-150.0,-150.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
14,GHCND:USC00123206,2019-01-15T00:00:00,0.0,0.0,76.0,-6.0,-150.0,-61.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
15,GHCND:USC00123206,2019-01-16T00:00:00,0.0,0.0,76.0,-11.0,-61.0,-11.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
16,GHCND:USC00123206,2019-01-17T00:00:00,0.0,0.0,76.0,11.0,-39.0,-39.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
17,GHCND:USC00123206,2019-01-18T00:00:00,25.0,25.0,102.0,0.0,-39.0,-6.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
18,GHCND:USC00123206,2019-01-19T00:00:00,10.0,13.0,102.0,11.0,-50.0,-50.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
19,GHCND:USC00123206,2019-01-20T00:00:00,91.0,102.0,178.0,-44.0,-183.0,-183.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
20,GHCND:USC00123206,2019-01-21T00:00:00,0.0,0.0,178.0,-100.0,-239.0,-239.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
21,GHCND:USC00123206,2019-01-22T00:00:00,0.0,0.0,178.0,-122.0,-250.0,-128.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
22,GHCND:USC00123206,2019-01-23T00:00:00,122.0,0.0,127.0,28.0,-128.0,28.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
23,GHCND:USC00123206,2019-01-24T00:00:00,36.0,0.0,76.0,56.0,-39.0,-39.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
24,GHCND:USC00123206,2019-01-25T00:00:00,0.0,0.0,51.0,-39.0,-167.0,-167.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
25,GHCND:USC00123206,2019-01-26T00:00:00,5.0,10.0,25.0,-117.0,-167.0,-117.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
26,GHCND:USC00123206,2019-01-27T00:00:00,33.0,71.0,102.0,-67.0,-139.0,-139.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
27,GHCND:USC00123206,2019-01-28T00:00:00,3.0,0.0,102.0,-94.0,-172.0,-111.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
28,GHCND:USC00123206,2019-01-29T00:00:00,51.0,140.0,152.0,56.0,-122.0,-122.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
29,GHCND:USC00123206,2019-01-30T00:00:00,3.0,0.0,102.0,-122.0,-250.0,-250.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
30,GHCND:USC00123206,2019-01-31T00:00:00,0.0,0.0,102.0,-233.0,-272.0,-267.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
31,GHCND:USC00123206,2019-02-01T00:00:00,23.0,51.0,152.0,-161.0,-267.0,-161.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
32,GHCND:USC00123206,2019-02-02T00:00:00,0.0,0.0,152.0,-89.0,-161.0,-150.0,0.0,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
33,GHCND:USC00123206,2019-02-03T00:00:00,0.0,0.0,76.0,56.0,-150.0,39.0,0.0,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
34,GHCND:USC00123206,2019-02-04T00:00:00,0.0,0.0,0.0,111.0,22.0,56.0,0.0,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
35,GHCND:USC00123206,2019-02-05T00:00:00,38.0,0.0,0.0,111.0,-6.0,0.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
36,GHCND:USC00123206,2019-02-06T00:00:00,132.0,0.0,0.0,11.0,-6.0,6.0,0.0,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
37,GHCND:USC00123206,2019-02-07T00:00:00,18.0,0.0,0.0,44.0,6.0,11.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
38,GHCND:USC00123206,2019-02-08T00:00:00,13.0,0.0,0.0,133.0,-111.0,-111.0,0.0,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
39,GHCND:USC00123206,2019-02-09T00:00:00,0.0,0.0,0.0,-78.0,-117.0,-94.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
40,GHCND:USC00123206,2019-02-10T00:00:00,0.0,0.0,0.0,-28.0,-94.0,-61.0,,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
41,GHCND:USC00123206,2019-02-11T00:00:00,36.0,38.0,25.0,-28.0,-61.0,-44.0,0.0,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
42,GHCND:USC00123206,2019-02-12T00:00:00,178.0,0.0,25.0,0.0,-44.0,0.0,0.0,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
43,GHCND:USC00123206,2019-02-13T00:00:00,13.0,5.0,25.0,11.0,-78.0,-78.0,0.0,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
44,GHCND:USC00123206,2019-02-14T00:00:00,0.0,0.0,0.0,-6.0,-83.0,-6.0,0.0,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
45,GHCND:USC00123206,2019-02-15T00:00:00,0.0,0.0,0.0,72.0,-22.0,-22.0,0.0,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
46,GHCND:USC00123206,2019-02-16T00:00:00,0.0,0.0,0.0,-22.0,-83.0,-50.0,0.0,,268.2,2008-12-01,2020-03-20,41.3415,"GARRETT, IN US",1,METERS,-85.1292
