,station,date,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
0,GHCND:USC00123207,2019-01-01T00:00:00,0.0,0.0,0.0,89.0,6.0,6.0,265.2,1989-02-01,2020-02-29,41.3366,"GARRETT 1 S, IN US",1,METERS,-85.1198
1,GHCND:USC00123207,2019-01-02T00:00:00,0.0,0.0,0.0,6.0,-22.0,6.0,265.2,1989-02-01,2020-02-29,41.3366,"GARRETT 1 S, IN US",1,METERS,-85.1198
2,GHCND:USC00123207,2019-01-03T00:00:00,3.0,0.0,0.0,17.0,-39.0,11.0,265.2,1989-02-01,2020-02-29,41.3366,"GARRETT 1 S, IN US",1,METERS,-85.1198
3,GHCND:USC00123207,2019-01-04T00:00:00,0.0,0.0,0.0,83.0,-33.0,83.0,265.2,1989-02-01,2020-02-29,41.3366,"GARRETT 1 S, IN US",1,METERS,-85.1198
4,GHCND:USC00123207,2019-01-05T00:00:00,0.0,0.0,0.0,94.0,-33.0,83.0,265.2,1989-02-01,2020-02-29,41.3366,"GARRETT 1 S, IN US",1,METERS,-85.1198
5,GHCND:USC00123207,2019-01-06T00:00:00,0.0,0.0,0.0,89.0,-17.0,28.0,265.2,1989-02-01,2020-02-29,41.3366,"GARRETT 1 S, IN US",1,METERS,-85.1198
6,GHCND:USC00123207,2019-01-07T00:00:00,33.0,0.0,0.0,89.0,-6.0,89.0,265.2,1989-02-01,2020-02-29,41.3366,"GARRETT 1 S, IN US",1,METERS,-85.1198
7,GHCND:USC00123207,2019-01-08T00:00:00,0.0,0.0,0.0,106.0,39.0,39.0,265.2,1989-02-01,2020-02-29,41.3366,"GARRETT 1 S, IN US",1,METERS,-85.1198
8,GHCND:USC00123207,2019-01-09T00:00:00,0.0,3.0,0.0,39.0,-67.0,-61.0,265.2,1989-02-01,2020-02-29,41.3366,"GARRETT 1 S, IN US",1,METERS,-85.1198
9,GHCND:USC00123207,2019-01-10T00:00:00,0.0,8.0,0.0,-44.0,-78.0,-44.0,265.2,1989-02-01,2020-02-29,41.3366,"GARRETT 1 S, IN US",1,METERS,-85.1198
10,GHCND:USC00123207,2019-01-11T00:00:00,0.0,0.0,0.0,-28.0,-61.0,-39.0,265.2,1989-02-01,2020-02-29,41.3366,"GARRETT 1 S, IN US",1,METERS,-85.1198
11,GHCND:USC00123207,2019-01-12T00:00:00,5.0,15.0,0.0,-33.0,-56.0,-50.0,265.2,1989-02-01,2020-02-29,41.3366,"GARRETT 1 S, IN US",1,METERS,-85.1198
