,station,date,DAPR,MDPR,PRCP,SNOW,SNWD,WT01,WT03,WT05,WT11,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
0,GHCND:USC00124165,2019-01-01T00:00:00,,,168.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
1,GHCND:USC00124165,2019-01-02T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
2,GHCND:USC00124165,2019-01-03T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
3,GHCND:USC00124165,2019-01-04T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
4,GHCND:USC00124165,2019-01-05T00:00:00,,,0.0,0.0,0.0,1.0,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
5,GHCND:USC00124165,2019-01-06T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
6,GHCND:USC00124165,2019-01-07T00:00:00,,,3.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
7,GHCND:USC00124165,2019-01-08T00:00:00,,,15.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
8,GHCND:USC00124165,2019-01-09T00:00:00,,,3.0,5.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
9,GHCND:USC00124165,2019-01-10T00:00:00,,,3.0,3.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
10,GHCND:USC00124165,2019-01-11T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
11,GHCND:USC00124165,2019-01-12T00:00:00,,,0.0,0.0,0.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
12,GHCND:USC00124165,2019-01-13T00:00:00,,,66.0,86.0,76.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
13,GHCND:USC00124165,2019-01-14T00:00:00,,,0.0,0.0,76.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
14,GHCND:USC00124165,2019-01-15T00:00:00,,,0.0,0.0,76.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
15,GHCND:USC00124165,2019-01-16T00:00:00,,,8.0,3.0,76.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
16,GHCND:USC00124165,2019-01-17T00:00:00,,,0.0,0.0,76.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
17,GHCND:USC00124165,2019-01-18T00:00:00,,,20.0,30.0,102.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
18,GHCND:USC00124165,2019-01-19T00:00:00,,,30.0,97.0,127.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
19,GHCND:USC00124165,2019-01-20T00:00:00,,,56.0,38.0,152.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
20,GHCND:USC00124165,2019-01-21T00:00:00,,,0.0,0.0,127.0,,,,,288,2018-08-01,2020-03-21,41.51159,"HUDSON 3 SW, IN US",1,METERS,-85.13199
